attendance_id,course_id,student_id,attendance_date,status,remarks
1,1,7001,2023-08-01,Present,Attended theory class
2,2,7002,2023-08-01,Absent,Was absent due to illness
3,3,7003,2023-08-01,Absent,Was absent due to illness
4,4,7004,2023-08-01,Present,Attended theory class
5,5,7005,2023-08-01,Absent,Was absent due to illness
6,6,7006,2023-08-01,Present,Attended theory class
7,7,7007,2023-08-01,Absent,Was absent due to illness
8,8,7008,2023-08-01,Absent,Was absent due to illness
9,9,7009,2023-08-01,Present,Attended theory class
10,10,7010,2023-08-01,Absent,Was absent due to illness
